type,val_image,train_image,hamming_distance,val_md5,train_md5,val_phash,train_phash
near,Anthracnose_0d184e97_jpg.rf.6b51d16433617b14e11859264c493647.jpg,Anthracnose_aug_feec09fd_jpg.rf.79f37da0fc01b3a29af518f991b7382e.jpg,6,0b4580297063221c3d65504687ed2636,b798d37f63ba2b85bdf3fb2aebb65ef4,a46d5d1e53825a1f,a56d511a53865e1f
near,Anthracnose_7d6096bb_jpg.rf.1d8dc5d3ae71d45c9ed5e9721f50544a.jpg,Anthracnose_ba4f6552_jpg.rf.9d5cc77c4429e69babd8b8ab5d233e76.jpg,6,6f64095cfde452d55132fc7d3104231c,8bcbc1b45ee953077e648e5197a13370,f138044f07d34f5b,d138044d16d75f5b
near,Anthracnose_7d6096bb_jpg.rf.1d8dc5d3ae71d45c9ed5e9721f50544a.jpg,Anthracnose_fcc8a5e4_jpg.rf.950fc9d1b52c8477f9d6fb07bff5fbdf.jpg,6,6f64095cfde452d55132fc7d3104231c,e2a9ba77a2337c7f906b80f1db077d3e,f138044f07d34f5b,f038044b87d70f7b
near,Anthracnose_80a7397a_jpg.rf.3493f7ba9b75d8d9cbab36397444701b.jpg,Anthracnose_543507e5_jpg.rf.98a69e74aa644af20c49e2202f081344.jpg,6,16fab5bfa50c5cceb726d800f44ac91e,3b933e24f9b2b5b634e63cca507f15fa,d1cf5f31310f48b1,d1cf5b33310e0bb1
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_0d48a083_jpg.rf.e9131055a76d2faa2e1771a57929bf88.jpg,6,e8aca932fce2f9c6095b0300ee5fd2cd,da0659e3fd68850721c0bdc219878c46,a56d511ed3c65817,a56d511a53865e1f
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_aug_2ccbdccc_jpg.rf.af3b6850739494d53f2bfd0a2968f875.jpg,6,e8aca932fce2f9c6095b0300ee5fd2cd,285951918dab3e1c58b69e2a2e125312,a56d511ed3c65817,a56d511a53865e1f
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_aug_98d412d7_jpg.rf.b2fbe50760987292a6711d8e5b4a60f7.jpg,6,e8aca932fce2f9c6095b0300ee5fd2cd,cf24b3da82434f440594cc7aa7fe3020,a56d511ed3c65817,a56d511a53865e1f
near,Anthracnose_aug_74be9bb6_jpg.rf.7f8e6a343117334c2c415a4874eb91bb.jpg,Anthracnose_aug_feec09fd_jpg.rf.79f37da0fc01b3a29af518f991b7382e.jpg,6,e8aca932fce2f9c6095b0300ee5fd2cd,b798d37f63ba2b85bdf3fb2aebb65ef4,a56d511ed3c65817,a56d511a53865e1f
near,Anthracnose_aug_bfd468f9_jpg.rf.efd7b12fd3d5edc8a6cfae88f797ae49.jpg,Anthracnose_aug_83ab491d_jpg.rf.5b1b07bb71ec9d81011d0aef455423a9.jpg,6,c4ba10a427560e79a3e1f8b91c9e87f7,480ad4d5b4ab97a3986604cf361b5c9a,c3355ecce1b19c2c,c23d5ecd61b11e2c
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_0d48a083_jpg.rf.e9131055a76d2faa2e1771a57929bf88.jpg,6,89921a2d5daf3b239653ec6b0dfee8ad,da0659e3fd68850721c0bdc219878c46,a46d5d1e53825a1f,a56d511a53865e1f
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_aug_2ccbdccc_jpg.rf.af3b6850739494d53f2bfd0a2968f875.jpg,6,89921a2d5daf3b239653ec6b0dfee8ad,285951918dab3e1c58b69e2a2e125312,a46d5d1e53825a1f,a56d511a53865e1f
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_aug_98d412d7_jpg.rf.b2fbe50760987292a6711d8e5b4a60f7.jpg,6,89921a2d5daf3b239653ec6b0dfee8ad,cf24b3da82434f440594cc7aa7fe3020,a46d5d1e53825a1f,a56d511a53865e1f
near,Anthracnose_aug_fae1df8d_jpg.rf.d31623cb077f56d757d8ca042c336731.jpg,Anthracnose_aug_feec09fd_jpg.rf.79f37da0fc01b3a29af518f991b7382e.jpg,6,89921a2d5daf3b239653ec6b0dfee8ad,b798d37f63ba2b85bdf3fb2aebb65ef4,a46d5d1e53825a1f,a56d511a53865e1f
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_41d062ec_jpg.rf.e8dac4edb7661bb6198823b31a1a8298.jpg,6,79a2f62848b1e0ae8e46f0685b65cd48,64be79c06077b765cb14b2eff6f6307c,a56d511a53865e1f,a46d513853875b1f
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_aug_d552cd85_jpg.rf.84b7edec7842b88dd3d243590e7f342a.jpg,6,79a2f62848b1e0ae8e46f0685b65cd48,02a7e57fa7eb036b6418d820ab9acd28,a56d511a53865e1f,a46d513853875b1f
near,Anthracnose_d9f35328_jpg.rf.2012953ccfc434cdf2e9cd42f89c3764.jpg,Anthracnose_eb6e67a1_jpg.rf.0ab3b8dc544f9fef369b9ae372e432f8.jpg,6,79a2f62848b1e0ae8e46f0685b65cd48,d383eb6192216e0fb183c8a58863d77d,a56d511a53865e1f,a56d511ed3c65817
near,Anthracnose_07dd36b8_jpg.rf.c773a7cbc483d55aaf253a3ac3a9935a.jpg,Anthracnose_23f5a653_jpg.rf.3c0f02d53a5292652f52c546ee54b228.jpg,8,8efe702b1051577385f33efc8285d7ff,239ef69c717b25e34ee94b982191faa9,d0b2895253dd5ee8,d0b2815e5bdc566c
near,Anthracnose_07dd36b8_jpg.rf.c773a7cbc483d55aaf253a3ac3a9935a.jpg,Anthracnose_834f32d7_jpg.rf.2172c2c2a716ddd1e914f20147817e46.jpg,8,8efe702b1051577385f33efc8285d7ff,368f7b6c82c240ef9981125eb781f140,d0b2895253dd5ee8,d0a2815a1bfd5aec
